# 100013 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2025.06.23 (yyyy.mm.dd); 12.21 hrs (PDT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 100013
MWEBV: 1.2084751
REDSHIFT_HELIO: 0.22093255078021093
REDSHIFT_CMB: 0.22093255078021093
REDSHIFT_CMB_ERR: 0.028259264
PEAKMJD: 61132.3743
FILTERS: g_LSST,i_LSST,r_LSST,z_LSST
# -----------------------------------------------------------
NOBS: 19
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 61181.2141 r_LSST 9.3539 3.0475 25.072522628790917 0.3537325162682718
OBS: 61181.1902 g_LSST nan nan nan 1.1570049313384636
OBS: 61172.1914 r_LSST 6.273 6.3948 25.506305846929713 1.106810424324329
OBS: 61172.1676 g_LSST nan nan nan 0.9355764697053629
OBS: 61171.4115 z_LSST 5.56 12.5108 25.63730538061631 2.4430496333488816
OBS: 61171.4001 i_LSST 10.446 8.451 24.952628300556402 0.8783795089318662
OBS: 61170.2433 r_LSST 8.3522 5.2463 25.195496787242394 0.6819870514512311
OBS: 61170.2429 r_LSST 16.1058 5.2463 24.482544770903022 0.3536676384160537
OBS: 61170.2193 g_LSST 2.158 3.3413 26.66488433696791 1.6811147635670265
OBS: 61170.2189 g_LSST nan nan nan 0.8202896391956672
OBS: 61159.2422 z_LSST 28.2369 13.1222 23.87295838022385 0.5045621073514522
OBS: 61159.2177 i_LSST 0.7142 15.2161 27.865494791175628 23.132674183396773
OBS: 61158.3112 i_LSST 35.9418 7.3115 23.61100170367028 0.22086588722547187
OBS: 61145.3426 z_LSST 23.2023 12.1779 24.08617033334761 0.5698561516065269
OBS: 61145.3185 i_LSST 42.3614 9.9845 23.432574931288034 0.25590493431422445
OBS: 61144.362 r_LSST 20.9684 2.8803 24.19608506669618 0.1491405210429448
OBS: 61144.3371 i_LSST 39.8941 4.7418 23.497729485102234 0.12905092914865854
OBS: 61132.3743 i_LSST 71.0036 7.314 22.87179841965863 0.11184081806530541
OBS: 61132.3498 r_LSST 32.9051 8.5043 23.70684115214767 0.28060858472831096
END:
